R_avg,G_avg,B_avg,Color_var,V_var,S_var,label
41.15990196,6.339607843,4.122352941,8428.330322,24893.53975,0.379127732,2
42.17930377,32.58742629,24.92526651,14039.42123,26020.94546,0.228331912,2
24.384406,13.27673448,12.91735664,10334.93262,18358.0842,0.25955581,2
37.37049168,28.87803207,27.82998745,12743.63535,22533.42027,0.19703996,2
10.92555525,7.194191129,6.007856304,4519.500387,11610.20149,0.197059671,2
8.471941032,2.473611794,0.917444717,10593.25849,24194.97784,0.501182189,2
46.73651106,17.27174447,8.740933661,9312.908288,24938.05005,0.188569539,2
39.64964916,15.31896892,10.4884004,7542.290602,27575.58998,0.422838371,2
15.50109235,6.581032771,3.51122145,3286.293591,8922.289889,0.439850513,2
9.875912356,3.699334412,3.164828282,5156.531769,11298.09065,0.366337536,2
25.91069318,7.470131613,11.32104394,16077.2143,27029.23038,0.2998902,2
44.79546351,11.19990138,9.59704142,14923.7904,27047.8822,0.196819052,2
33.75662835,4.541302682,5.568429119,8038.046741,28655.07921,0.495039555,2
11.18156863,5.21,3.604117647,17951.54121,26057.11164,0.335819514,2
36.04622587,1.126114894,2.886398913,1731.51796,18883.2996,0.598936236,2
21.95597273,2.595208968,4.138679606,9014.038074,17412.89748,0.443652019,2
28.56936746,1.010780713,1.130448308,6175.787335,18407.99814,0.519585549,2
30.53543569,9.995636886,7.054370924,14936.2925,25669.91088,0.326708117,2
6.839294652,0.939201919,0.977565339,3719.584408,9785.619921,0.475567496,2
8.950834035,0.675514072,0.788257508,5638.85855,14743.36312,0.543685957,2
20.60667957,5.753952364,4.806282034,5126.904352,14113.91731,0.308183171,2
20.78751115,0.465492741,0.701518496,7616.300976,19683.36776,0.544629562,2
29.00931373,1.032058824,0.235294118,5382.680951,24483.90818,0.600250612,2
9.60311975,13.66462431,15.20735307,18220.89882,18264.79479,0.137293381,2
6.017772417,2.100630232,1.744076119,19904.88003,27717.52935,0.421391487,2
13.66203766,5.910682671,7.603856345,2124.599894,10517.39536,0.406724728,2
31.94446325,19.94304208,17.64316669,12232.82494,19765.44221,0.273746293,2
9.221159931,0.347060891,0.33088182,3559.470108,9630.077736,0.587470185,2
